用户id,用户名,自我描述,教育背景,开放性,尽责性,外向性,宜人性,神经质,健康观点
51,王汪汪鱼,未填写,3,4,4,5,5,4,偶尔涉及健康话题，主要围绕日常生活与情绪表达，缺乏系统健康观点，但关心身边环境与亲近者健康。
52,OU_Kaka,纯洁的老油条……,4,3,4,4,3,5,微博内容以自然风景、偶像动态与天气分享为主，未明显涉及健康主题，健康意识表达较少。
53,青松yang317,退休前，从事科研教育工作。退休后，爱读书看报，编写故事；爱运动，特喜欢打中式台球，几乎天天在省老年活动中心打台球，也喜欢游泳、行走……,4,7,5,3,5,3,用户注重文化修养与自然审美，涉及传统文化、生态健康、物种保护等内容，整体传达出一种“身心和谐”的生活态度，倡导与自然和睦共生。
54,李青大夫,微博2019健康医疗最受欢迎医生 健康博主 头条文章作者,5,6,6,7,7,4,用户作为健康博主和医生，积极分享健康医疗相关知识，致力于提高公众的健康意识和知识水平。
55,成一虫,历史博主，小说作者，财经评论者，微博健康类发言活跃,5,7,7,3,5,5,用户多次发布与健康相关的科普和评论，如花粉过敏、公共场所禁烟、医疗资源分配、AI伦理等，展现出对公共健康话题的深度参与和理性表达。
56,睿睿妈妈forever,未填写,3,3,6,4,7,3,用户频繁转发权威健康科普内容，关注儿童青少年健康、呼吸道疾病预防、营养科普、中医保健等话题，健康意识较强，注重实用与家庭日常照护的结合。
57,宝儿妈-77,一个全职主妇，兴趣是收集生活的亮点,2,4,7,5,5,3,用户高度关注健康科普内容，特别是传染病防治、心理健康、心血管健康等，频繁转发12320健康权威账号内容，具备良好健康意识并倾向向家人传播。
58,瑾棠棠,未填写,3,3,5,4,6,3,用户持续关注健康知识传播，内容涵盖双相情感障碍、过敏疾病、儿童营养与生长、心理健康等，体现出较强的健康意识与信息筛选能力，偏重权威内容转发与科普信息扩散。
59,翎雾梦雨连烟,未填写,2,5,5,3,3,5,用户转发和发布了有关春季防流感健康指南的内容，强调良好卫生习惯和充足睡眠，有一定健康意识，关注基础预防措施与日常自护知识。
60,儒释道久久艾文,中医艾灸科普博主，弘扬传统文化与自然养生,4,6,7,5,7,1,用户专注于中医艾灸与传统养生传播，内容涵盖体质调理、节气保健、女性调经、情志调养、手诊等，倡导顺应自然、未病先防的健康理念，传播力强，操作性高。
61,六庚为白兽,万当万言不如一默,4,5,3,3,3,5,用户多次转发关于养生、自我调理、体质调养等话题的微博，如“白发是热毒”等传统健康观念内容，健康观点偏传统中医体系，倾向于轻科普与转评传播。
62,六零后星辰,未填写,3,5,5,5,5,3,该用户主要从事文艺领域内容的关注与传播，涉及影视舆情、公众表达、公正话语等社会议题，尚未体现与健康直接相关的内容。
63,花间一壶酒,热爱烹饪与阅读，注重家庭与美食,3,4,5,7,7,4,日常分享家庭烹饪与营养搭配技巧，关注控盐控糖及合理饮食，偶尔转发权威营养科普。
64,追光少年Leo,未填写,4,7,6,5,3,5,多次关注青少年心理健康辅导和运动健身知识，转发相关社区活动信息，对健康教育与心理疏导较敏感。
65,小溪流水叮咚,退休教师，喜欢旅游与摄影,2,3,5,4,7,5,偶尔关注老年人慢病管理知识，分享个人健步旅行心得，强调运动与积极心态并重。
66,面朝大海678,做最朴实的人，说最真诚的话,5,7,6,5,5,3,频繁讨论中医养生与现代医疗结合，关注自我调理与家庭保健，定期转发12320健康公告。
67,糖糖鱼乐,自称猫奴和美食猎人,3,3,3,4,4,4,偶尔转发关于糖尿病防治和健康饮食的帖子，开始关注血糖监测的重要性。
68,时光微尘,一名普通的文字爱好者，喜欢独处与思考,3,3,4,4,5,3,平时常转发一些关于心理健康的科普帖子，认为保持心情愉悦和积极的情绪管理是身体健康的关键，对情绪疏导与心灵成长方面话题兴趣浓厚。
69,木子青禾,专注插画与儿童绘本创作,4,7,4,3,7,3,该用户关注儿童健康与营养，定期分享儿童视力保护、合理膳食搭配等信息，强调兴趣培养与体能锻炼对孩子身心健康的重要作用。
70,夏日漫步__s,户外运动达人，追求自然生活,2,3,3,3,5,4,主打慢跑、骑行及徒步活动，经常在微博上提醒大家注意补水、补盐和合理休息，强调有计划的运动能改善新陈代谢并减轻工作压力。
71,橙色光影,纪录片及人文摄影爱好者,3,4,6,3,7,4,常分享远行中的见闻，关注当地医疗条件与居民健康状况，偶尔发起公益募捐，认为医疗公平是社会进步的重要衡量标准。
72,书海漫游者123,热爱阅读，钟情经典文学,4,5,3,5,4,3,在阅读中关注医学科普作品，如《人类简史》的健康章节，分享读后感并讨论现代医学与传统观念的结合，倡导理性看待医学发展。
73,一只懒毛兔rabb,生活需要调味，快乐来自内心,3,3,5,4,4,4,经常转发减肥和健身博主内容，但执行力有限，时常感慨自律的重要性，表示会继续尝试饮食调整与适度运动以改善体型。
74,apple秋日私语,资深书法爱好者,5,5,5,4,5,1,将书法与养生相结合，鼓励通过练字修身养性、稳定情绪，认为自律与内心的平静对身体健康起到关键作用，并时常与粉丝分享中医小知识。
75,凌寒岁末,普通白领，爱动漫、爱生活,2,4,4,4,5,5,日常关注职场健康、肩颈疼痛缓解等知识，转发过办公室健康操与用眼卫生贴士，偶尔分享体验式拔罐、按摩的心得。
76,sda夏清甜fa,未来可期，阳光所至,3,4,7,4,7,3,关注女性健康话题，如宫颈癌疫苗接种、乳腺疾病预防等，鼓励女性定期体检并掌握基本的妇科常识，对健康筛查有较强的倡导意识。
77,南风知我意,热爱烘焙，喜欢用甜点传达温暖,4,6,3,4,6,5,通过分享各类甜点制作过程时，亦提醒粉丝注意糖分和热量摄入，倡导在享受美味的同时保持饮食均衡，与运动相结合。
78,山海之心,喜欢大自然的理科生,2,5,5,5,3,3,偶尔发布植物与环境保护信息，也关注空气质量对人体健康的影响，特别是对呼吸道疾病预防及花粉过敏防护等领域表现出一定兴趣。
79,夜色枫林,夜晚跑步爱好者,3,4,3,3,4,4,常常在深夜跑步打卡，并提示粉丝注意夜跑安全和护膝保护，鼓励大家把跑步当作减压方式，建议合理控制运动强度与频率。
80,沐雨听风,对外汉语教师，热爱跨文化交流,4,5,5,5,4,7,关注海外医疗体系与跨文化健康观念，分享自己在海外生活时的体检与保险经验，强调理解不同文化背景下的健康意识差异。
81,碎光星屑,一半清醒，一半热爱,2,4,4,5,3,4,转发过几个戒烟倡导视频，支持无烟环境建设，对公共场所禁烟表示赞同，认为这是守护公众健康的重要举措。
82,浅夏微凉sjd,喜欢手工艺与DIY设计,3,4,5,7,5,5,常以短视频形式分享舒缓焦虑的手工创作过程，认为心理健康需要找到兴趣点，平和的内心状态可以间接促进免疫力提升。
83,玄月木林,传统文化研习者,4,5,7,3,5,3,主要关注中医、茶道与太极拳等，认为“正气存内，邪不可干”，主张顺应四时变化调理身心，注重饮食起居有节。
84,春江夜渡zcn,旅游博主，走遍大江南北,3,5,7,3,6,3,旅途中常介绍当地医疗保健设施与特色养生体验，如温泉疗养、药膳食材等，提倡注重水土适应和旅行途中的卫生健康管理。
85,慕云倾雪,爱追剧，也爱做家常菜,2,4,3,4,4,3,时常分享家庭烹饪和营养搭配的小贴士，关注长辈三高预防，偶尔讨论健康查体与家族疾病史，体现了对家庭健康的重视。
86,独孤行者,职业运动教练,5,7,5,7,6,3,长期科普不同运动项目的训练方式及运动损伤防护，强调科学健身与循序渐进的重要性，呼吁公众提升运动安全意识并做好热身准备。
87,水墨清心l;,水彩画作者，专注艺术疗愈,4,5,4,4,3,3,致力于通过绘画宣泄压力与情绪，认为艺术创作是一种心理减压方式，也关注专业心理辅导科普内容，倡导将艺术与健康教育结合。
88,夜莺轻唱,在乡村卫生所任职的护士，热爱田园与生活,3,5,5,3,5,4,用户在微博上分享乡村医疗点滴，时常呼吁关注偏远地区老人与儿童的基础健康服务，强调早期预防与健康教育对农村医疗的重要性，也常科普常见病的护理方法。
89,子安书屋,坚持每天写读书笔记的高中生,2,3,5,3,4,3,偶尔转发有关青少年心理压力释放和学习规划的科普文章，认为合理的作息和适度运动能够帮助提高学习效率，对高考焦虑有一定关注。
90,长河落日,退役警察，曾在社区工作多年,3,5,5,3,5,3,经常宣传社区健康与治安协作的重要性，强调邻里互助和健康监测相结合，主动组织社区义诊和健康讲座，鼓励退休人群保持积极心态与社交活动。
91,云端漫步85,专职翻译，自由工作者,4,7,3,3,5,5,长期接触国际资讯，喜欢分享各国公共卫生政策对比，主张跨国经验借鉴来完善国内健康体系，对WHO发布的健康指南保持关注与翻译实践。
92,听海漂流瓶,创业中的小老板，主攻电商运营,3,3,5,5,3,4,由于工作繁忙，特别关心职业疲劳与亚健康管理，常提到体检与工间休息的重要性，鼓励年轻从业者进行适度健身、合理膳食以及心理疏导。
93,午夜狂想曲,独立音乐人，热爱演出与创作,4,5,4,4,3,6,因长时间排练容易肩颈酸痛，关注颈椎保健与按摩康复知识，曾科普舞台演出时如何保护听力与体力，呼吁艺术工作者关注自己的身体信号。
94,海蓝见鲸,喜爱海洋生物保护的潜水教练,5,7,6,3,7,5,常分享潜水时的急救知识和呼吸技巧，注重水下运动与身体机能调适，倡导通过接触自然来减压并增强心肺功能，也呼吁保护海洋生态环境。
95,森林寻影者,野生动植物摄影师,2,3,3,4,3,3,游历深山老林时常晒出对环境与野生动物的观察，认为生态平衡与人类健康密切相关，呼吁尊重自然法则，也分享徒步时如何防护寄生虫和蚊虫叮咬。
96,悦诗收割机,新晋美食博主，兴趣是烹饪与食材研究,3,3,3,5,5,3,擅长拆解各类食材的营养结构，分享餐桌健康搭配方案，尤其注重控盐控糖、适当补充蛋白质等，认为一个健康的胃口是幸福生活的源泉。
97,北望归鸿,刚退休的国企工程师,4,4,4,4,6,4,退休后开始跑马拉松，提倡“走出去、动起来”的积极晚年生活方式，强调定期体检、心血管与关节保养，并跟随线下健身俱乐部学习运动知识。
98,琴韵花开,教钢琴的全职妈妈,3,4,4,4,5,3,常在微博记录育儿日常与家庭健康话题，认为音乐教育不仅培养孩子的艺术素养，也能缓解焦虑、培养耐心，会定期分享幼儿视力保护和身姿训练技巧。
99,一朵小棉花,甜品店老板娘，兼顾家庭和事业,4,6,3,3,4,5,经常在社交平台介绍低脂甜点和“少糖”甜品配方，呼吁关注肥胖与三高问题，强调身心平衡，懂得在生活与健康之间寻找一个温柔的平衡点。
